;text1.txt;text2.txt;text3.txt;text4.txt;text5.txt;text6.txt;text7.txt;text8.txt;text9.txt;text10.txt;text11.txt;text12.txt;text13.txt;text14.txt;text15.txt
state;5.813781191217037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9068905956085187;0.0
carrier;1.3219280948873624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3219280948873624;1.3219280948873624;0.0;1.3219280948873624;7.931568569324174;2.643856189774725
—;3.169925001442312;3.169925001442312;3.169925001442312;3.169925001442312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.679700005769249;0.0;0.0;0.0
immedi;2.321928094887362;0.0;4.643856189774724;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
chang;1.3219280948873624;0.0;7.931568569324174;0.0;0.0;2.643856189774725;1.3219280948873624;0.0;1.3219280948873624;1.3219280948873624;0.0;0.0;0.0;0.0;0.0
respons;1.584962500721156;1.584962500721156;1.584962500721156;0.0;0.0;0.0;0.0;1.584962500721156;0.0;0.0;0.0;0.0;1.584962500721156;0.0;0.0
tuesday’;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
“return;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
safe;0.9068905956085185;0.0;0.9068905956085185;0.9068905956085185;0.0;0.9068905956085185;1.813781191217037;0.9068905956085185;0.9068905956085185;0.9068905956085185;0.0;0.0;0.0;0.0;0.0
prioriti;1.584962500721156;0.0;1.584962500721156;0.0;0.0;1.584962500721156;0.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;0.0;0.0;0.0
confid;1.0995356735509143;1.0995356735509143;0.0;1.0995356735509143;1.0995356735509143;1.0995356735509143;2.1990713471018286;0.0;1.0995356735509143;0.0;0.0;0.0;0.0;0.0;0.0
happen”;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
statement;1.4739311883324124;1.4739311883324124;1.4739311883324124;1.4739311883324124;1.4739311883324124;0.0;0.7369655941662062;0.0;0.0;0.0;1.4739311883324124;2.2108967824986188;0.0;1.4739311883324124;0.0
“we;2.643856189774725;1.3219280948873624;2.643856189774725;0.0;1.3219280948873624;0.0;2.643856189774725;0.0;0.0;0.0;0.0;0.0;2.643856189774725;0.0;0.0
acknowledg;1.9068905956085185;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;1.9068905956085185;0.0;1.9068905956085185;0.0;0.0;0.0;0.0
regret;2.9068905956085187;8.720671786825555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
difficulti;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
present;2.321928094887362;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.321928094887362;0.0
supplier;5.720671786825555;0.0;1.9068905956085185;11.44134357365111;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
public”;2.9068905956085187;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
last;1.7548875021634687;2.924812503605781;3.5097750043269373;3.5097750043269373;2.924812503605781;1.7548875021634687;0.5849625007211562;0.5849625007211562;0.0;0.0;0.0;0.0;0.0;0.5849625007211562;2.3398500028846247
discov;2.321928094887362;4.643856189774724;9.287712379549449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
potenti;2.1990713471018286;3.298607020652743;2.1990713471018286;0.0;0.0;2.1990713471018286;1.0995356735509143;0.0;0.0;1.0995356735509143;0.0;0.0;0.0;2.1990713471018286;0.0
wire;8.720671786825555;0.0;34.88268714730222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bundl;8.720671786825555;0.0;11.627562382434075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
place;3.169925001442312;1.584962500721156;1.584962500721156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.584962500721156;0.0;0.0;1.584962500721156
close;2.321928094887362;0.0;6.965784284662087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.965784284662087;0.0;0.0;0.0
togeth;1.9068905956085185;0.0;3.813781191217037;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0
electr;4.643856189774724;0.0;4.643856189774724;0.0;0.0;0.0;0.0;0.0;0.0;4.643856189774724;0.0;0.0;0.0;0.0;0.0
short;1.3219280948873624;1.3219280948873624;6.609640474436812;0.0;0.0;1.3219280948873624;0.0;0.0;0.0;0.0;0.0;0.0;1.3219280948873624;0.0;1.3219280948873624
caus;3.813781191217037;0.0;9.534452978042593;0.0;0.0;0.0;0.0;1.9068905956085185;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0
catastroph;2.9068905956085187;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
assess;2.321928094887362;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0
issu;0.7369655941662062;2.2108967824986188;5.158759159163443;0.7369655941662062;0.7369655941662062;0.0;1.4739311883324124;2.2108967824986188;1.4739311883324124;0.0;0.0;0.0;0.0;1.4739311883324124;0.0
recent;3.169925001442312;0.0;6.339850002884624;3.169925001442312;0.0;0.0;0.0;0.0;1.584962500721156;3.169925001442312;0.0;0.0;0.0;0.0;0.0
identifi;1.584962500721156;1.584962500721156;3.169925001442312;0.0;0.0;0.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;0.0;0.0;0.0;0.0
dozen;1.9068905956085185;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;3.813781191217037
may;2.643856189774725;0.0;2.643856189774725;1.3219280948873624;0.0;0.0;0.0;0.0;1.3219280948873624;1.3219280948873624;0.0;2.643856189774725;0.0;0.0;0.0
need;2.3398500028846247;0.0;5.264662506490406;1.1699250014423124;0.0;0.5849625007211562;0.0;0.0;0.5849625007211562;0.5849625007211562;0.0;1.1699250014423124;1.7548875021634687;0.5849625007211562;0.5849625007211562
separ;6.965784284662087;0.0;4.643856189774724;0.0;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
includ;0.7369655941662062;2.2108967824986188;0.0;0.7369655941662062;0.0;0.0;0.0;0.7369655941662062;1.4739311883324124;1.4739311883324124;0.7369655941662062;0.7369655941662062;1.4739311883324124;0.0;0.0
bay;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
cockpit;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
situat;2.321928094887362;0.0;0.0;2.321928094887362;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
spoke;1.9068905956085185;0.0;1.9068905956085185;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0
condit;1.9068905956085185;0.0;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.813781191217037;0.0;1.9068905956085185;0.0
anonym;2.321928094887362;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.321928094887362;0.0
discuss;1.9068905956085185;1.9068905956085185;3.813781191217037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9068905956085185;0.0;0.0;0.0;0.0
intern;1.4739311883324124;2.947862376664825;5.158759159163443;0.0;0.0;0.7369655941662062;0.0;0.0;0.0;0.0;0.7369655941662062;1.4739311883324124;2.2108967824986188;2.2108967824986188;3.684827970831031
still;1.813781191217037;2.720671786825555;3.627562382434074;4.534452978042593;0.0;0.0;0.0;0.0;0.9068905956085185;0.0;0.0;1.813781191217037;0.9068905956085185;0.9068905956085185;0.0
analyz;2.9068905956085187;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
whether;1.584962500721156;0.0;11.094737505048093;3.169925001442312;0.0;1.584962500721156;0.0;0.0;0.0;3.169925001442312;0.0;0.0;0.0;0.0;0.0
also;1.7548875021634687;0.0;1.1699250014423124;1.1699250014423124;0.0;1.7548875021634687;0.0;1.7548875021634687;1.1699250014423124;1.7548875021634687;0.0;0.5849625007211562;0.0;0.5849625007211562;0.5849625007211562
work;1.1699250014423124;2.3398500028846247;2.3398500028846247;1.1699250014423124;0.0;0.0;2.3398500028846247;1.1699250014423124;1.1699250014423124;2.3398500028846247;0.0;3.5097750043269373;1.1699250014423124;0.0;0.0
prevent;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0
control;0.7369655941662062;0.7369655941662062;2.2108967824986188;0.7369655941662062;0.0;0.0;0.0;2.2108967824986188;0.7369655941662062;0.0;0.0;0.7369655941662062;0.0;0.7369655941662062;0.7369655941662062
comput;2.321928094887362;0.0;2.321928094887362;0.0;0.0;0.0;6.965784284662087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
turn;2.321928094887362;4.643856189774724;0.0;0.0;0.0;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0
recommend;2.9068905956085187;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
simul;3.169925001442312;20.604512509375027;4.754887502163468;0.0;0.0;3.169925001442312;0.0;0.0;1.584962500721156;0.0;0.0;0.0;0.0;0.0;0.0
train;0.7369655941662062;5.89572475332965;0.7369655941662062;0.7369655941662062;0.7369655941662062;1.4739311883324124;0.7369655941662062;1.4739311883324124;0.0;0.0;0.0;1.4739311883324124;0.0;0.0;0.0
pilot;2.720671786825555;5.44134357365111;5.44134357365111;0.9068905956085185;0.0;4.534452978042593;5.44134357365111;4.534452978042593;0.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0
befor;1.3423769309136635;1.3423769309136635;1.7898359078848847;1.7898359078848847;2.684753861827327;0.44745897697122117;0.8949179539424423;1.7898359078848847;0.44745897697122117;0.0;0.0;0.44745897697122117;0.0;0.44745897697122117;0.0
even;0.9068905956085185;2.720671786825555;1.813781191217037;0.9068905956085185;0.0;3.627562382434074;0.0;0.9068905956085185;0.0;0.9068905956085185;0.0;0.0;1.813781191217037;0.0;0.0
regulatori;2.9068905956085187;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sinc;0.44745897697122117;0.44745897697122117;0.44745897697122117;0.44745897697122117;0.0;0.0;0.44745897697122117;0.8949179539424423;0.44745897697122117;0.44745897697122117;0.0;0.44745897697122117;0.0;0.44745897697122117;0.44745897697122117
longer;1.3219280948873624;0.0;2.643856189774725;1.3219280948873624;0.0;0.0;0.0;0.0;1.3219280948873624;2.643856189774725;0.0;1.3219280948873624;0.0;0.0;0.0
ipad;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lesson;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
wa;0.5972140413054863;0.9953567355091437;0.3981426942036575;0.8958210619582294;0.29860702065274314;0.6967497148564006;0.3981426942036575;1.094892409060058;0.19907134710182875;0.0;0.29860702065274314;0.09953567355091437;0.19907134710182875;0.19907134710182875;0.3981426942036575
origin;3.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
plan;1.813781191217037;0.0;1.813781191217037;0.9068905956085185;0.9068905956085185;0.0;0.0;0.0;0.0;0.0;1.813781191217037;0.9068905956085185;1.813781191217037;0.0;0.9068905956085185
reach;5.813781191217037;0.0;0.0;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
sever;2.643856189774725;3.965784284662087;0.0;0.0;0.0;1.3219280948873624;0.0;0.0;0.0;1.3219280948873624;0.0;1.3219280948873624;0.0;1.3219280948873624;0.0
key;3.813781191217037;1.9068905956085185;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;3.813781191217037;0.0;0.0;0.0;0.0;0.0
mileston;1.9068905956085185;0.0;1.9068905956085185;1.9068905956085185;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
must;1.9068905956085185;0.0;1.9068905956085185;0.0;5.720671786825555;1.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
conduct;4.643856189774724;0.0;2.321928094887362;0.0;0.0;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
test;2.643856189774725;0.0;5.28771237954945;0.0;0.0;3.965784284662087;6.609640474436812;1.3219280948873624;1.3219280948873624;0.0;0.0;0.0;0.0;0.0;0.0
around;1.584962500721156;0.0;1.584962500721156;3.169925001442312;0.0;0.0;0.0;0.0;0.0;1.584962500721156;0.0;1.584962500721156;0.0;0.0;0.0
globe;2.9068905956085187;2.9068905956085187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
certif;1.3219280948873624;2.643856189774725;2.643856189774725;1.3219280948873624;1.3219280948873624;0.0;0.0;1.3219280948873624;0.0;0.0;0.0;0.0;0.0;0.0;0.0
faa;1.813781191217037;15.417140125344813;11.78957774291074;5.44134357365111;5.44134357365111;2.720671786825555;0.9068905956085185;0.0;0.0;0.0;0.0;0.0;0.0;2.720671786825555;0.0
max’;4.643856189774724;0.0;0.0;0.0;2.321928094887362;2.321928094887362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
